user_id,session_id,timestamp,page,event_type,device,country
82,62,2025-12-16 15:02:00.650402,/profile,click,tablet,US
82,62,2025-12-16 15:02:09.650402,/cart,view,tablet,US
82,62,2025-12-16 15:02:27.650402,/home,view,mobile,US
82,62,2025-12-16 15:02:38.650402,/search,view,mobile,DE
82,62,2025-12-16 15:03:36.650402,/home,purchase,desktop,IN
82,62,2025-12-16 15:03:55.650402,/cart,view,tablet,US
82,62,2025-12-16 15:04:12.650402,/home,click,mobile,UK
82,62,2025-12-16 15:04:36.650402,/home,click,desktop,UK
82,62,2025-12-16 15:04:41.650402,/home,purchase,desktop,IN
82,62,2025-12-16 15:05:30.650402,/cart,view,desktop,DE
82,62,2025-12-16 15:05:36.650402,/search,click,mobile,DE
82,62,2025-12-16 15:05:54.650402,/home,purchase,desktop,DE
161,9,2025-12-16 15:38:00.650402,/profile,click,mobile,UK
161,9,2025-12-16 15:38:08.650402,/profile,view,mobile,US
161,9,2025-12-16 15:38:36.650402,/home,purchase,desktop,UK
161,9,2025-12-16 15:38:56.650402,/home,click,tablet,US
161,9,2025-12-16 15:39:12.650402,/search,click,mobile,IN
161,9,2025-12-16 15:39:21.650402,/home,purchase,desktop,IN
161,9,2025-12-16 15:39:50.650402,/search,purchase,tablet,US
161,9,2025-12-16 15:40:00.650402,/home,view,tablet,DE
161,9,2025-12-16 15:40:13.650402,/cart,view,mobile,UK
161,9,2025-12-16 15:40:15.650402,/home,view,mobile,UK
161,9,2025-12-16 15:40:34.650402,/cart,view,tablet,UK
161,9,2025-12-16 15:40:40.650402,/home,view,mobile,IN
162,369,2025-12-16 15:42:00.650402,/product,purchase,mobile,CA
162,369,2025-12-16 15:42:20.650402,/search,click,mobile,CA
162,369,2025-12-16 15:42:20.650402,/product,purchase,tablet,IN
161,9,2025-12-16 15:42:24.650402,/profile,view,mobile,UK
162,369,2025-12-16 15:42:30.650402,/cart,click,mobile,IN
162,369,2025-12-16 15:42:44.650402,/product,view,mobile,IN
162,369,2025-12-16 15:43:30.650402,/product,view,desktop,DE
162,369,2025-12-16 15:43:48.650402,/profile,purchase,mobile,CA
162,369,2025-12-16 15:44:24.650402,/cart,purchase,desktop,CA
162,369,2025-12-16 15:44:30.650402,/checkout,purchase,mobile,UK
162,369,2025-12-16 15:45:02.650402,/checkout,view,mobile,UK
162,369,2025-12-16 15:45:12.650402,/search,click,mobile,US
148,374,2025-12-16 15:49:00.650402,/checkout,purchase,desktop,UK
148,374,2025-12-16 15:49:08.650402,/profile,purchase,desktop,CA
148,374,2025-12-16 15:49:25.650402,/search,click,mobile,US
148,374,2025-12-16 15:49:54.650402,/search,view,tablet,US
148,374,2025-12-16 15:49:54.650402,/home,purchase,tablet,DE
148,374,2025-12-16 15:50:18.650402,/product,click,tablet,US
148,374,2025-12-16 15:51:00.650402,/checkout,view,mobile,CA
198,349,2025-12-16 16:25:00.650402,/home,click,mobile,CA
198,349,2025-12-16 16:25:12.650402,/cart,purchase,tablet,DE
